,Accuracy,F1 Score,ROC-AUC Score,PR-AUC Score
BaggingClassifier,0.8118333333333333,0.457993278924628,0.7488929613776726,0.5017609097848447
BalancedBaggingClassifier,0.783,0.5244704163623083,0.7652801066487965,0.5141101768863308
BBC with GradientBoostingClassifier,0.7618333333333334,0.5331590983338778,0.7816608333627179,0.541759943308943
BalancedRandomForestClassifier,0.7426666666666667,0.5199004975124378,0.7718711524202592,0.5237137210202338
RUBoostClassifier,0.7511666666666666,0.5200900032144005,0.7648475446418779,0.5211050914562826
EasyEnsembleClassifier,0.759,0.5271419228253761,0.7765765235826728,0.5280535859382768
TomekLinks,0.819,0.4843304843304843,0.780808140225488,0.5446806747413012
EditedNearestNeighbour,0.791,0.5399853264856933,0.780808140225488,0.5446806747413012
NearMiss,0.49316666666666664,0.39386087303169226,0.780808140225488,0.5446806747413012
NeighborhoodCleaningRule,0.7936666666666666,0.5411415863602669,0.780808140225488,0.5446806747413012
OenSidedSelection,0.8186666666666667,0.4848484848484848,0.780808140225488,0.5446806747413012
SMOTE,0.7935,0.516582130316036,0.7586234128492364,0.5175985636454403
SVMSMOTE,0.795,0.5351473922902493,0.7586234128492364,0.5175985636454403
KMeans-SMOTE,0.8168333333333333,0.5073957866427612,0.7586234128492364,0.5175985636454403
ADASYN,0.7878333333333334,0.5098190219484021,0.7586234128492364,0.5175985636454403
SMOTE-Tomek,0.7926666666666666,0.5086887835703001,0.6074559097931096,0.33890827554237735
SMOTE-ENN,0.2205,0.35940282153129716,0.6074559097931096,0.33890827554237735
